id,name,category,kcal_per_100g,protein_g,carbs_g,fat_g,fiber_g,tags
chicken_breast_cooked,"Chicken breast, cooked",poultry,165,31.0,0.0,3.6,0.0,high protein;low carb;meal prep
chicken_thigh_cooked,"Chicken thigh, cooked",poultry,209,26.0,0.0,10.9,0.0,high protein;budget friendly
turkey_breast_cooked,"Turkey breast, cooked",poultry,135,29.0,0.0,1.5,0.0,high protein;low fat
beef_lean_cooked,"Lean beef, cooked",meat,250,26.0,0.0,15.0,0.0,high protein;iron rich
pork_tenderloin_cooked,"Pork tenderloin, cooked",meat,143,26.0,0.0,3.5,0.0,lean protein
salmon_cooked,"Salmon, cooked",fish,206,22.0,0.0,12.0,0.0,omega 3;high protein
tuna_canned_water,Tuna canned in water,fish,116,26.0,0.0,1.0,0.0,high protein;quick meal
cod_cooked,"Cod, cooked",fish,105,23.0,0.0,0.9,0.0,low fat;high protein
egg_whole,Whole egg,egg dairy,143,12.6,0.7,9.5,0.0,breakfast;protein
egg_white,Egg white,egg dairy,52,10.9,0.7,0.2,0.0,low calorie protein
greek_yogurt_plain_2pct,Greek yogurt plain 2%,dairy,73,10.0,3.9,2.0,0.0,high protein;vegetarian
cottage_cheese_lowfat,Low-fat cottage cheese,dairy,82,11.0,3.4,2.3,0.0,high protein;vegetarian
milk_2pct,Milk 2%,dairy,50,3.4,4.8,2.0,0.0,calcium
cheddar_cheese,Cheddar cheese,dairy,403,25.0,1.3,33.0,0.0,energy dense;vegetarian
tofu_firm,Firm tofu,plant protein,144,15.7,3.9,8.7,2.3,vegan;high protein
tempeh,Tempeh,plant protein,193,20.3,7.6,10.8,1.4,vegan;fermented
lentils_cooked,"Lentils, cooked",legume,116,9.0,20.1,0.4,7.9,vegan;fiber rich
chickpeas_cooked,"Chickpeas, cooked",legume,164,8.9,27.4,2.6,7.6,vegan;fiber rich
black_beans_cooked,"Black beans, cooked",legume,132,8.9,23.7,0.5,8.7,vegan;fiber rich
kidney_beans_cooked,"Kidney beans, cooked",legume,127,8.7,22.8,0.5,6.4,vegan;fiber rich
white_rice_cooked,"White rice, cooked",grain,130,2.7,28.2,0.3,0.4,carb base;gluten free
brown_rice_cooked,"Brown rice, cooked",grain,112,2.6,23.5,0.9,1.8,whole grain;fiber
quinoa_cooked,"Quinoa, cooked",grain,120,4.4,21.3,1.9,2.8,gluten free;complete protein
oats_dry,"Oats, dry",grain,389,16.9,66.3,6.9,10.6,breakfast;fiber
whole_wheat_pasta_cooked,"Whole wheat pasta, cooked",grain,124,5.3,26.5,0.5,3.9,whole grain
potato_boiled,"Potato, boiled",starchy vegetable,87,1.9,20.1,0.1,1.8,budget carb;potassium
sweet_potato_baked,"Sweet potato, baked",starchy vegetable,90,2.0,20.7,0.2,3.3,fiber;vitamin A
bread_wholegrain,Wholegrain bread,grain,247,13.0,41.0,4.2,7.0,whole grain
broccoli_cooked,"Broccoli, cooked",vegetable,35,2.4,7.2,0.4,3.3,low calorie;fiber
spinach_raw,"Spinach, raw",vegetable,23,2.9,3.6,0.4,2.2,low calorie;leafy green
tomato_raw,"Tomato, raw",vegetable,18,0.9,3.9,0.2,1.2,low calorie
cucumber_raw,"Cucumber, raw",vegetable,15,0.7,3.6,0.1,0.5,hydrating
carrot_raw,"Carrot, raw",vegetable,41,0.9,9.6,0.2,2.8,fiber;vitamin A
bell_pepper_raw,"Bell pepper, raw",vegetable,31,1.0,6.0,0.3,2.1,low calorie
zucchini_cooked,"Zucchini, cooked",vegetable,17,1.2,3.1,0.3,1.0,low calorie
mushrooms_raw,"Mushrooms, raw",vegetable,22,3.1,3.3,0.3,1.0,umami
onion_raw,"Onion, raw",vegetable,40,1.1,9.3,0.1,1.7,aromatic
garlic_raw,"Garlic, raw",aromatic,149,6.4,33.1,0.5,2.1,aromatic
avocado_raw,"Avocado, raw",fruit fat,160,2.0,8.5,14.7,6.7,healthy fat;energy dense
apple_raw,"Apple, raw",fruit,52,0.3,13.8,0.2,2.4,fiber
banana_raw,"Banana, raw",fruit,89,1.1,22.8,0.3,2.6,quick carb
berries_mixed,Mixed berries,fruit,50,0.7,12.0,0.3,4.0,fiber;low calorie
orange_raw,"Orange, raw",fruit,47,0.9,11.8,0.1,2.4,vitamin C
olive_oil,Olive oil,fat,884,0.0,0.0,100.0,0.0,healthy fat;energy dense
butter,Butter,fat,717,0.9,0.1,81.0,0.0,energy dense
peanut_butter,Peanut butter,fat protein,588,25.0,20.0,50.0,6.0,energy dense;protein
almonds,Almonds,nuts,579,21.0,22.0,50.0,12.5,healthy fat
walnuts,Walnuts,nuts,654,15.2,13.7,65.2,6.7,omega 3 plant
chia_seeds,Chia seeds,seeds,486,16.5,42.1,30.7,34.4,fiber rich
honey,Honey,sweetener,304,0.3,82.4,0.0,0.2,fast carb
dark_chocolate_70,Dark chocolate 70%,sweet,598,7.8,45.9,42.6,10.9,energy dense
